listing_id,operation,district,neighborhood,address,surface_m2,rooms,bathrooms,price_eur,price_per_m2,floor,elevator,balcony,furnished,condition,energy_certificate,has_parking,latitude,longitude,agency
ID_0,Alquiler,Unknown,Sagrada Família,C/ Aragó 395,89.0,3,2,263348.9583646475,4240.0,1º,True,False,False,Average,energy_certificate empty,False,41.192376703741246,2.082139006101164,Particular
listing_id empty,Vender,Eixampl,Les Corts,Passeig de Gràcia,171.0,3,1,263348.9583646475,792091.0,ático,False,False,False,condition empty,D,False,41.192376703741246,2.082139006101164,Housfy
ID_2,Lease,Sant Martí,El Clot,C/ Mallorca 316,106.5811866378594,3,1,317642.0,281963.1486186731,2º,True,False,False,Average,D,False,41.3997,2.082139006101164,Engel & Völkers
listing_id empty,Alquiler,Sants,Sagrada Família,Calle Falsa 123,106.5811866378594,3,1,263348.9583646475,5484.0,sótano,False,True,False,A Reformar,A,True,41.192376703741246,2.0,Engel & Völkers
5,Buy,Sants,Les Corts,C/ Gran Via 245,106.5811866378594,3,1,263348.9583646475,281963.1486186731,4º,True,False,True,Average,F,True,41.192376703741246,2.0,Particular
listing_id empty,Vender,Ciutat Vella,El Raval,Calle Falsa 123,127.0,3,2,491626.0,281963.1486186731,sótano,True,False,False,Reformado,C,False,41.39776,2.0,Fotocasa
listing_id empty,Venta,Sants-montjuïc,Les Corts,C/ Aragó 55,106.5811866378594,3,1,263348.9583646475,281963.1486186731,4º,False,False,True,Good,D,True,41.192376703741246,2.082139006101164,Housfy
ID_7,Venta,Sarrià-sant Gervasi,Les Corts,address empty,106.5811866378594,3,1,1282371.0,4093.0,floor empty,True,False,False,condition empty,G,False,41.192376703741246,2.082139006101164,Fotocasa
listing_id empty,Venta,Les Corts,La Barceloneta,Calle Falsa 123,127.0,3,3,263348.9583646475,66301.0,3º,False,False,False,condition empty,E,True,41.192376703741246,2.16599,Remax
10,Alquiler,Sant Andreu,neighborhood empty,address empty,106.5811866378594,3,1,4512.0,785674.0,floor empty,False,True,True,condition empty,energy_certificate empty,False,41.0,2.14761,Engel & Völkers
ID_10,operation empty,Eixample,El Born,C/ Aragó 20,106.5811866378594,3,1,1673153.0,281963.1486186731,2º,False,True,False,condition empty,energy_certificate empty,False,41.192376703741246,2.20668,Idealista
listing_id empty,Lease,Nou Barris,La Barceloneta,address empty,46.0,3,1,1200.0,589879.0,sótano,True,True,False,A Reformar,D,False,41.192376703741246,2.11382,Particular
listing_id empty,Lease,Horta-guinardó,El Clot,C/ Aragó 157,61.0,3,1,263348.9583646475,281963.1486186731,bajo,False,False,False,condition empty,E,True,41.0,2.082139006101164,Housfy
14,Buy,Sant Martí,Sagrada Familia,address empty,106.5811866378594,3,1,1952961.0,4517.0,4º,False,False,False,condition empty,A,True,41.0,2.082139006101164,Fotocasa
ID_14,Rent,Gracia,Sant Antoni,C/ Diagonal 46,107.0,5,1,3271.0,281963.1486186731,sótano,False,True,True,Nuevo,B,True,41.0,2.18997,Housfy
16,operation empty,Horta-guinardó,Sagrada Familia,Calle Falsa 123,106.5811866378594,3,1,1200.0,7898.0,1º,False,False,True,A Reformar,E,True,41.0,2.0,Housfy
ID_16,Vender,Gracia,neighborhood empty,C/ Aragó 339,61.0,3,2,263348.9583646475,281963.1486186731,sótano,True,True,True,condition empty,F,False,41.0,2.082139006101164,Engel & Völkers
ID_17,Venta,Gracia,El Born,C/ Diagonal 267,106.5811866378594,3,1,1200.0,281963.1486186731,floor empty,False,False,False,condition empty,C,True,41.192376703741246,2.082139006101164,Fotocasa
ID_18,Rent,Gracia,neighborhood empty,C/ Aragó 361,122.0,3,1,263348.9583646475,3898.0,sótano,True,True,False,Good,D,True,41.192376703741246,2.082139006101164,Idealista
ID_19,Buy,Sant Andreu,El Raval,C/ Diagonal 345,106.5811866378594,2,1,2962.0,281963.1486186731,ático,True,True,False,Reformado,D,False,41.192376703741246,2.0,Particular
