listing_id,operation,district,neighborhood,address,surface_m2,rooms,bathrooms,price_eur,price_per_m2,floor,elevator,balcony,furnished,condition,energy_certificate,has_parking,latitude,longitude,agency
ID_0,alquiler,Unknown,Sagrada Família,C/ Aragó 395,89.0,,2,,4240.0,1º,True,False,,average,,False,,,Particular
,VENDER,Eixampl,Les Corts,Passeig de Gràcia,171.0,,1,,792091.0,ático,,False,,,D,False,,,Housfy
ID_2,lease,Sant Martí,El Clot,C/ Mallorca 316,,2,,317642.0,,2º,True,,,average,D,,41.3997,,Engel & Völkers
,alquiler,SANTS,Sagrada Família,Calle Falsa 123,,3,2,,5484.0,sótano,False,True,,a reformar,A,True,,2.0,Engel & Völkers
5,buy,SANTS,Les Corts,C/ Gran Via 245,,2,,,,4º,True,False,True,average,F,True,,2.0,Particular
,VENDER,Ciutat Vella,El Raval,Calle Falsa 123,127.0,3,2,491626.0,,sótano,True,,,reformado,C,False,41.39776,2.0,Fotocasa
,venta,Sants-Montjuïc,Les Corts,C/ Aragó 55,,2,2,,,4º,False,,True,good,D,True,,,Housfy
ID_7,venta,Sarrià-Sant Gervasi,Les Corts,,,3,,1282371.0,4093.0,,True,,False,,G,,,,Fotocasa
,venta,Les Corts,La Barceloneta,Calle Falsa 123,127.0,2,3,,66301.0,3º,,,,,E,True,,2.16599,Remax
10,alquiler,Sant Andreu,,,,2,,4512.0,785674.0,,False,True,True,,,False,41.0,2.14761,Engel & Völkers
ID_10,,Eixample,El Born,C/ Aragó 20,,3,2,1673153.0,,2º,False,True,,,,,,2.20668,Idealista
,lease,Nou Barris,La Barceloneta,,46.0,,2,1200.0,589879.0,sótano,True,True,False,a reformar,D,False,,2.11382,Particular
,lease,Horta-Guinardó,El Clot,C/ Aragó 157,61.0,2,2,,,bajo,,False,,,E,True,41.0,,Housfy
14,buy,Sant Martí,Sagrada familia,,,,1,1952961.0,4517.0,4º,,False,,,A,True,41.0,,Fotocasa
ID_14,rent,gracia,Sant Antoni,C/ Diagonal 46,107.0,5,1,3271.0,,sótano,False,True,True,nuevo,B,True,41.0,2.18997,Housfy
16,,Horta-Guinardó,Sagrada familia,Calle Falsa 123,,,,1200.0,7898.0,1º,False,,True,a reformar,E,True,41.0,2.0,Housfy
ID_16,VENDER,gracia,,C/ Aragó 339,61.0,,2,,,sótano,True,True,True,,F,False,41.0,,Engel & Völkers
ID_17,venta,gracia,El Born,C/ Diagonal 267,,2,1,1200.0,,,False,,,,C,True,,,Fotocasa
ID_18,rent,gracia,,C/ Aragó 361,122.0,3,,,3898.0,sótano,True,True,,good,D,True,,,Idealista
ID_19,buy,Sant Andreu,El Raval,C/ Diagonal 345,,2,,2962.0,,ático,True,True,,reformado,D,,,2.0,Particular
21,buy,Nou Barris,Diagonal Mar,Passeig de Gràcia,114.0,3,,999.0,4360.0,bajo,False,True,,nuevo,C,True,,,Housfy
ID_21,lease,Les Corts,,C/ Aragó 221,60.0,2,,,6157.0,ático,,,False,good,G,False,41.0,,Fotocasa
ID_22,venta,Unknown,El Raval,C/ Diagonal 154,,1,,3159.0,559954.0,1º,,,,nuevo,G,False,,,
ID_23,rent,Sarrià-Sant Gervasi,Sagrada Família,Calle Falsa 123,,,,,6261.0,ático,,False,False,good,F,,,2.0,Housfy
,lease,Eixampl,Sagrada familia,C/ Mallorca 133,138.0,6,,2743.0,,ático,False,,,nuevo,C,,,,Idealista
26,VENDER,Les Corts,Vila de Gràcia,C/ Gran Via 140,,2,3,3789.0,,,,True,False,,B,,,2.21906,Engel & Völkers
,buy,Les Corts,La Barceloneta,,74.0,,,,476481.0,4º,False,False,,reformado,F,False,,2.19408,
,buy,SANTS,El Clot,,,2,2,,3593.0,4º,False,False,True,poor,E,True,,2.0,Housfy
,alquiler,Sant Andreu,Diagonal Mar,Calle Falsa 123,107.0,,,1200.0,,,False,False,True,,,True,41.41412,2.0,Housfy
ID_29,rent,Eixampl,El raval,,235.0,,2,,,ático,False,,,,D,,41.35084,,Fotocasa
31,rent,Sant Andreu,La Barceloneta,,98.0,3,1,3429.0,3326.0,bajo,False,False,,,E,False,41.37238,,
ID_31,venta,Sant Martí,Sagrada familia,,127.0,1,2,1022.0,7006.0,bajo,,,True,average,A,,41.0,2.19448,Particular
,buy,Ciutat Vella,Les Corts,,160.0,,2,292445.0,4494.0,2º,False,True,True,poor,C,False,,,Housfy
,rent,Eixample,La Barceloneta,C/ Gran Via 196,103.0,3,,1990.0,3650.0,4º,True,False,,,B,True,,,Remax
35,lease,Gràcia,Les Corts,,227.0,,,1426518.0,,1º,False,,True,reformado,,True,,,Remax
ID_35,rent,gracia,Poble-sec,Passeig de Gràcia,,3,,194736.0,,sótano,False,True,,,,,,2.16552,
,alquiler,Les Corts,Sant Antoni,Calle Falsa 123,95.0,1,,,6188.0,2º,False,,,,E,,,,Fotocasa
38,VENDER,Horta-Guinardó,La Barceloneta,C/ Diagonal 159,154.0,2,1,1200.0,4989.0,bajo,True,True,False,,G,,,,Remax
39,lease,Eixampl,El Clot,C/ Mallorca 249,83.0,4,,379515.0,,1º,,True,False,nuevo,,,,2.0,Idealista
,VENDER,Gràcia,,Passeig de Gràcia,70.0,,,,,bajo,False,True,,a reformar,C,True,41.0,,Remax
,lease,SANTS,Sant Antoni,,131.0,,1,411477.0,4605.0,ático,False,True,,poor,D,,,,Housfy
ID_41,,gracia,,Passeig de Gràcia,186.0,3,2,,,1º,True,False,False,reformado,,True,,2.0,
ID_42,VENDER,Nou Barris,,Passeig de Gràcia,77.0,,1,1200.0,494151.0,3º,False,,False,nuevo,D,,,,
ID_43,,SANTS,Vila de Gràcia,C/ Diagonal 258,,3,,2392.0,7883.0,4º,True,False,,average,C,,41.42133,,Particular
45,alquiler,Sants-Montjuïc,Poble-sec,,127.0,2,1,3452.0,7280.0,ático,,,,average,C,False,,2.10418,Particular
46,rent,Eixample,Diagonal Mar,,116.0,,1,,,4º,True,False,,nuevo,E,True,,,
,rent,Sants-Montjuïc,,,,,1,,3525.0,ático,False,False,,poor,B,False,41.41394,,Housfy
ID_47,venta,Sants-Montjuïc,El Born,Passeig de Gràcia,89.0,,2,,,,True,False,True,reformado,,False,,2.0,Housfy
,buy,Les Corts,Diagonal Mar,Calle Falsa 123,,2,,967934.0,,4º,False,True,True,reformado,D,True,,,
ID_49,alquiler,Sant Andreu,El Born,Passeig de Gràcia,65.0,2,,408427.0,,bajo,,True,,nuevo,C,,41.0,,Housfy
ID_50,alquiler,gracia,El Born,Calle Falsa 123,121.0,2,,,5443.0,ático,,True,,reformado,E,True,,,Engel & Völkers
52,venta,Eixampl,El Raval,Calle Falsa 123,56.0,,1,1200.0,911669.0,4º,False,,,nuevo,,False,41.0,2.13586,Housfy
ID_52,lease,Sarrià-Sant Gervasi,Les Corts,Passeig de Gràcia,,,,1200.0,,3º,False,,False,a reformar,G,,41.0,2.10886,Idealista
54,venta,Sant Andreu,El raval,,,4,,2039.0,,bajo,True,,True,,E,True,,,
55,venta,Sant Martí,La Barceloneta,C/ Diagonal 330,220.0,3,2,,,2º,True,False,True,good,,True,,,Housfy
56,venta,gracia,Sagrada Família,Calle Falsa 123,,3,,448085.0,,,False,,False,good,,,,2.18598,Engel & Völkers
57,venta,Les Corts,Sant Antoni,,79.0,,3,1849.0,384345.0,4º,False,,True,average,A,False,,2.0,Idealista
,venta,Les Corts,Diagonal Mar,,145.0,4,,,,2º,True,True,,,B,True,41.37504,,Engel & Völkers
,rent,Sants-Montjuïc,El raval,,,3,1,2236.0,,1º,False,True,,reformado,F,True,,2.16718,Engel & Völkers
60,alquiler,Nou Barris,Vila de Gràcia,C/ Diagonal 126,83.0,,,421007.0,,sótano,True,False,True,,G,,41.0,,Engel & Völkers
,lease,Sants-Montjuïc,Poble-sec,,56.0,3,2,496021.0,,bajo,True,False,True,poor,,False,,,Remax
,lease,Eixample,Diagonal Mar,Passeig de Gràcia,,3,2,176964.0,,4º,True,,False,poor,,,,,Particular
63,,Sant Martí,,,,2,,460325.0,3403.0,bajo,True,True,,poor,B,True,41.4146,2.0,Remax
64,venta,SANTS,Les Corts,Calle Falsa 123,57.0,2,,183899.0,210254.0,1º,False,False,True,a reformar,G,False,41.0,,Fotocasa
