listing_id,operation,district,neighborhood,address,surface_m2,rooms,bathrooms,price_eur,price_per_m2,floor,elevator,balcony,furnished,condition,energy_certificate,has_parking,latitude,longitude,agency
ID_0,alquiler,Unknown,Sagrada Família,C/ Aragó 395,89 m²,?,2,?,4240 €/m2,1º,Y,No,partially,average,?,No,N/A,?,Particular
,VENDER,Eixampl,Les Corts,Passeig de Gràcia,171,N/A,1,?,7920.91,ático,?,N,N/A,?,D,No,N/A,?,Housfy
ID_2,lease,Sant Martí,El Clot,C/ Mallorca 316,?,2+,?,317642 €,?,2º,Y,?,?,average,D,?,41.3997,?,Engel & Völkers
,alquiler,SANTS,Sagrada Família,Calle Falsa 123,N/A,three,two,N/A,5484 €/m2,sótano,N,Sí,?,a reformar,A,Y,N/A,2.0,Engel & Völkers
5,buy,SANTS,Les Corts,C/ Gran Via 245,?,2+,?,N/A,?,4º,Sí,N,Sí,average,F,Y,?,2.0,Particular
,VENDER,Ciutat Vella,El Raval,Calle Falsa 123,127 m²,three,2,491626 €,N/A,sótano,Y,unknown,N/A,reformado,C,no,41.39776,2.0,Fotocasa
,venta,Sants-Montjuïc,Les Corts,C/ Aragó 55,?,2+,two,N/A,?,4º,N,?,Sí,good,D,Sí,?,?,Housfy
ID_7,venta,Sarrià-Sant Gervasi,Les Corts, ,?,three,?,1282371,4093 €/m2,N/A,Y,?,No,?,G,unknown,N/A,?,Fotocasa
,venta,Les Corts,La Barceloneta,Calle Falsa 123,127 m²,2+,3,?,6630.1,3º,unknown,?,?,?,E,Y,?,2.16599,Remax
10,alquiler,Sant Andreu,unknown,unknown,N/A,2+,N/A,4512,7856.74,N/A,no,Sí,Sí,?,N/A,No,41.0,2.14761,Engel & Völkers
ID_10,?,Eixample,El Born,C/ Aragó 20,N/A,three,two,1673153,N/A,2º,N,Sí,partially,?,N/A,?,N/A,2.20668,Idealista
,lease,Nou Barris,La Barceloneta,unknown,46 m²,N/A,two,1.200€,5898.79,sótano,Sí,Sí,No,a reformar,D,N,?,2.11382,Particular
,lease,Horta-Guinardó,El Clot,C/ Aragó 157,61,2+,two,N/A,?,bajo,unknown,No,?,?,E,yes,41.0,N/A,Housfy
14,buy,Sant Martí,Sagrada familia , ,?,?,1 baño,1952961,4517 €/m2,4º,?,no,?,?,A,Sí,41.0,N/A,Fotocasa
ID_14,rent,gracia,Sant Antoni,C/ Diagonal 46,107m2,5,1 baño,3271€,?,sótano,No,Sí,Sí,nuevo,B,Y,41.0,2.18997,Housfy
16,?,Horta-Guinardó,Sagrada familia ,Calle Falsa 123,N/A,?,N/A,1.200€,7898 €/m2,1º,No,unknown,Sí,a reformar,E,yes,41.0,2.0,Housfy
ID_16,VENDER,gracia,unknown,C/ Aragó 339,61,N/A,2,?,N/A,sótano,Y,Y,Sí,?,F,no,41.0,N/A,Engel & Völkers
ID_17,venta,gracia,El Born,C/ Diagonal 267,N/A,2+,1,1.200€,?,N/A,No,?,partially,N/A,C,yes,N/A,N/A,Fotocasa
ID_18,rent,gracia,?,C/ Aragó 361,122 m²,three,?,N/A,3898 €/m2,sótano,Sí,yes,partially,good,D,yes,?,?,Idealista
ID_19,buy,Sant Andreu,El Raval,C/ Diagonal 345,?,2,N/A,2962€,N/A,ático,Y,yes,?,reformado,D,unknown,?,2.0,Particular
21,buy,Nou Barris,Diagonal Mar,Passeig de Gràcia,114m2,3,?,999€,4360 €/m2,bajo,no,Y,N/A,nuevo,C,yes,N/A,N/A,Housfy
ID_21,lease,Les Corts,?,C/ Aragó 221,60m2,2,?,?,6157 €/m2,ático,unknown,unknown,No,good,G,No,41.0,N/A,Fotocasa
ID_22,venta,Unknown,El Raval,C/ Diagonal 154,N/A,1,?,3159€,5599.54,1º,?,unknown,N/A,nuevo,G,no,?,N/A,unknown
ID_23,rent,Sarrià-Sant Gervasi,Sagrada Família,Calle Falsa 123,N/A,?,N/A,?,6261 €/m2,ático,?,no,No,good,F,?,?,2.0,Housfy
,lease,Eixampl,Sagrada familia ,C/ Mallorca 133,138 m²,6,N/A,2743€,?,ático,N,?,N/A,nuevo,C,?,?,N/A,Idealista
26,VENDER,Les Corts,Vila de Gràcia,C/ Gran Via 140,N/A,2+,3,3789€,N/A,N/A,?,Sí,No,?,B,?,N/A,2.21906,Engel & Völkers
,buy,Les Corts,La Barceloneta,unknown,74 m²,N/A,?,N/A,4764.81,4º,no,no,?,reformado,F,no,?,2.19408,unknown
,buy,SANTS,El Clot, ,?,2+,two,N/A,3593 €/m2,4º,N,No,Sí,poor,E,yes,?,2.0,Housfy
,alquiler,Sant Andreu,Diagonal Mar,Calle Falsa 123,107 m²,N/A,N/A,1.200€,N/A,N/A,no,N,Sí,?,?,Sí,41.41412,2.0,Housfy
ID_29,rent,Eixampl,El raval, ,235,N/A,two,?,N/A,ático,No,?,partially,N/A,D,unknown,41.35084,N/A,Fotocasa
31,rent,Sant Andreu,La Barceloneta, ,98,three,1 baño,3429€,3326 €/m2,bajo,N,N,partially,N/A,E,no,41.37238,N/A,unknown
